ブランド名,チャネル,品番,名前,写真,上代,年度,会期月,シーズン,ステップ,ワイヤー,タイプ,シーン,シーン,補整力,シルエット,着用感,商品ランク,売上規模,cluster,medoid_score,tsne_x,tsne_y,Rep,24-Oct,24-Nov,24-Dec,25-Jan,25-Feb,25-Mar,25-Apr,25-May,25-Jun,25-Jul,25-Aug,25-Sep,総計,初速3か月（月割）,初速3か月（平均）
Me,店舗・EC,ME525303,ﾌﾞﾗﾃﾞﾘｽ Perfumyﾌﾟﾗｽﾌﾞﾗｷｬﾐ25A1,-,"6,300",2025AW,2025年10月,通年,0,なし,一般,見せない,日中,4,高さ/自然,中,B,,1,2.016642777,0.8959746,0.6769952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Me,店舗・EC,ME525304,ﾌﾞﾗﾃﾞﾘｽ ﾍﾞﾛｱﾌﾞﾗｷｬﾐ,-,"6,500",2025AW,2025年9月,冬,0,なし,一般,見せる,日中,2,自然,弱,B,,8,1.42472559,0,0.5539913,0,0,0,0,0,0,0,0,0,0,0,0,52,52,52,52
Me,店舗・EC,ME525305,ﾌﾞﾗﾃﾞﾘｽ ﾃﾞｲﾘｰｺﾝﾌｫｰﾄﾌﾞﾗﾄｯﾌﾟ,-,"5,600",定番,通年,夏,0,なし,一般,見せる,日中,2,自然,弱,A,◎,8,0.604629508,0.11681461,0.5119815,1,0,0,0,0,0,0,0,0,0,0,0,261,261,261,261
Me,店舗・EC,ME526101,ﾌﾞﾗﾃﾞﾘｽ Lacy Tube Top,-,"6,300",2026SS,2026年3月,夏,0,なし,一般,見せる,日中,2,自然,中,B,,8,0,0.06089604,0.5389688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAGIC,EC,MG02503,リブブラタンクトップ,画像,"5,400",定番,2026年2月予定,夏,0,なし,一般,見せる,日中,2,自然,弱,A,,2,0.172751288,0.124518454,0.31462306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAGIC,EC,MG07501,Newイージーナイト,画像,"5,000",定番,2026年3月予定,通年,0,なし,プチ~一般,見せない,就寝,1,自然,弱,A,,2,3.119473394,0.28878677,0.11007726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAGIC,EC,MG07502,ひんやりブラキャミ,[ピーチ・ジョン]【吸水速乾接触冷感ひんやり涼しい汗とりパッド付汗対策夏快適透け防止】クーリッシュキャミソール（ワキ汗パッド付き）,"5,400",定番,2026年4月予定,夏,0,なし,一般,見せる,日中,2,自然,弱,A,,2,0.172751288,0.124518454,0.31462306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAGIC,EC,MG07504,ミニマイザー,画像,"6,300",定番,2026年3月予定,通年,0,なし,グラマー,見せない,日中,2,自然,弱,A,,2,2.523009481,0.32142383,0.27464902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAGIC,EC,MG07505,Aラインブラトップ,カップインAライントップスノースリーブ,"5,600",定番,2026年3月予定,夏,0,なし,一般,見せる,日中,2,自然,弱,A,,2,0,0.14265418,0.3944353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAGIC,EC,MG122201,ｼｰﾑﾚｽﾊｰﾄｶｯﾌﾟﾌﾞﾗ,画像,"4,800",定番,2022年,通年,0,なし,一般~グラマー,見せない,日中,3,高さ/自然,中,A,◎,1,2.503714654,0.7864593,0.44069612,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAGIC,EC,MG124301,ﾌﾞﾗﾃﾞﾘｽ ﾃﾞｲﾘｰﾅｲﾄﾌﾞﾗ,画像,"6,300",定番,2024年9月,通年,0,なし,プチ~一般,見せない,all,2,自然,弱,A,〇,2,2.892330694,0.32716757,0.1805507,0,0,0,0,31,0,0,0,0,0,0,0,0,31,31,31
MAGIC,EC,MG125201,ﾌﾛｰﾗﾙﾌｨｯﾄﾉﾝﾜｲﾔｰﾌﾞﾗ,画像,"6,300",2025SS,2025年7月,通年,0,なし,一般,見せない,日中,3,高さ/自然,中,A,,1,2.569887332,0.719939,0.40025556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAGIC,EC,MG125301,ﾌﾞﾗﾃﾞﾘｽ ｼｰﾑﾚｽｽｷﾝﾌﾞﾗ,画像,"6,800",定番,2025年10月予定,通年,0,なし,一般~グラマー,見せない,日中,3,高さ/自然,中,A,,1,2.731722417,0.7678711,0.36590493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAGIC,EC,MG523101,軽やかﾌｨｰﾙ快適ﾌﾞﾗｷｬﾐ,画像,"5,400",定番,2023年7月,通年,0,なし,一般,見せる,日中,2,自然,弱,A,◎,2,1.42472559,0.19301474,0.25883508,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAGIC,EC,MG525401,やわらかブラタンクトップ,画像,"5,600",定番,2025年12月予定,通年,0,なし,一般,見せない,日中,2,自然,弱,A,,2,2,0.26371634,0.25556374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAGIC,EC,MG525402,やわらかウォームブラインナー,画像,"6,300",定番,2025年12月予定,冬,0,なし,一般,見せない,日中,2,自然,弱,A,,2,2.089396286,0.27297628,0.35891664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAGIC,EC,MG525403,ベロアタッチリブブラタンクトップ,画像,"5,800",定番,2025年12月予定,冬,0,なし,一般,見せる,日中,2,自然,弱,A,,2,1.42472559,0.20439363,0.3549497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAGIC,EC,MG525404,ベロアタッチリブブラワンピース,画像,"7,000",定番,2025年12月予定,冬,0,なし,一般,見せる,日中,2,自然,弱,A,,2,1.860727644,0.22461843,0.43469805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yukine. Inc.,テレビ・EC,YH09501,2025年5月TPﾌﾞﾗ,-,"4,600",2025SS,2025年5月,通年,なし,なし,一般~グラマー,見せない,日中,2,自然,弱,B,,3,0,0.65263164,0.13270175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yukine. Inc.,テレビ・EC,YH124201,ゆきねえﾓｱｿﾌﾄ快適ﾎｰﾙﾄﾞﾌﾞﾗ24,画像,"3,900",2024AW,2024年7月,通年,なし,なし,一般~グラマー,見せない,日中,2,自然,弱,C,,3,0.604629508,0.668409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
